rows,world,it,time
# 1000000000,8,3,82639.53685760498
# 1000000000,8,4,80101.6206741333
# 1000000000,8,5,81575.91223716736
# 1000000000,8,6,80578.48811149597
# 1000000000,8,7,81539.74080085754
# 1000000000,8,8,81316.58959388733
# 1000000000,8,9,97470.33977508545
# 1000000000,4,0,181164.3741130829
# 1000000000,4,1,176721.8475341797
# 1000000000,4,2,162271.84295654297
# 1000000000,4,3,162021.75378799438
# 1000000000,4,4,159008.154630661
# 1000000000,4,5,158465.46006202698
# 1000000000,4,6,160778.97191047668
# 1000000000,4,7,161066.66731834412
# 1000000000,4,8,162561.83910369873
# 1000000000,4,9,180185.83130836487
# 1000000000,2,0,487595.0074195862
# 1000000000,2,1,449483.8435649872
# 1000000000,2,2,472620.0661659241
# 1000000000,2,3,459211.6696834564
# 1000000000,2,4,483499.31716918945
# 1000000000,2,5,475816.37239456177
# 1000000000,2,6,490644.7477340698
# 1000000000,2,7,445846.2131023407
# 1000000000,2,8,498927.451133728
# 1000000000,2,9,452203.6392688751
# 1000000000,1,0,869101.1691093445
# 1000000000,1,1,872234.498500824
# 1000000000,1,2,856725.3527641296
# 1000000000,1,3,865148.4129428864
# 1000000000,1,4,904768.630027771
# 1000000000,1,5,860289.909362793
# 1000000000,1,6,849815.6578540802
# 1000000000,1,7,885640.4356956482
# 1000000000,1,8,881421.3616847992
# 1000000000,1,9,891711.9145393372
# 1000000,8,0,1483.159065246582
# 1000000,8,1,540.8682823181152
# 1000000,8,2,611.1412048339844
# 1000000,8,3,520.0083255767822
# 1000000,8,4,544.4412231445312
# 1000000,8,5,487.02359199523926
# 1000000,16,0,1094.318151473999
# 1000000,16,1,665.7006740570068
# 1000000,16,2,750.8771419525146
# 1000000,16,3,599.919319152832
# 1000000,16,4,709.9192142486572
# 1000000,16,5,812.2808933258057
# 1000000000,512,0,10403.295993804932
1000000000,512,1,5912.734746932983
1000000000,512,2,5386.367082595825
1000000000,512,3,5306.582450866699
1000000000,512,4,9424.05104637146
1000000000,512,5,9340.226650238037
1000000000,256,0,9938.669443130493
1000000000,256,1,7872.23744392395
1000000000,256,2,8882.184982299805
1000000000,256,3,10465.156316757202
# 1000000000,256,4,12709.278583526611
1000000000,256,5,7765.51628112793
1000000000,128,0,11519.546508789062
1000000000,128,1,10401.118755340576
# 1000000000,128,2,15433.053970336914
1000000000,128,3,12171.292304992676
1000000000,128,4,10039.944171905518
1000000000,128,5,9161.10873222351
1000000000,64,0,17562.508821487427
1000000000,64,1,17682.052850723267
1000000000,64,2,18283.635139465332
# 1000000000,64,3,19184.15856361389
1000000000,64,4,15743.712186813354
1000000000,64,5,16828.099012374878
# 1000000000,32,0,29876.950979232788
1000000000,32,1,27099.69162940979
1000000000,32,2,28183.674812316895
1000000000,32,3,27822.71909713745
1000000000,32,4,29044.740200042725
1000000000,32,5,27759.069681167603
1000000000,16,0,48111.22250556946
1000000000,16,1,48386.523723602295
1000000000,16,2,47887.7112865448
1000000000,16,3,46572.52764701843
1000000000,16,4,47263.58079910278
1000000000,16,5,45124.78446960449
1000000000,8,0,89285.30550003052
1000000000,8,1,90065.08135795593
1000000000,8,2,90638.04078102112
1000000000,8,3,91953.90510559082
# 1000000000,8,4,93535.06898880005
1000000000,8,5,91206.89058303833
1000000000,4,0,176907.09257125854
1000000000,4,1,174720.55745124817
1000000000,4,2,171945.10746002197
1000000000,4,3,165007.50041007996
1000000000,4,4,162124.74012374878
1000000000,4,5,169133.74137878418
1000000000,2,0,480101.6774177551
1000000000,2,1,451812.88146972656
1000000000,2,2,472628.2014846802
1000000000,2,3,456730.54242134094
1000000000,2,4,448944.76890563965
1000000000,2,5,449259.1335773468
# 1000000000,1,0,921988.3773326874
1000000000,1,1,864033.6740016937
1000000000,1,2,864185.9624385834
1000000000,1,3,881422.5389957428
1000000000,1,4,891391.0579681396
1000000000,1,5,834905.9226512909
