rows,world,it,time
#100000000,16,1,28641.128301620483
#100000000,16,2,28276.108741760254
#100000000,16,3,29237.306594848633
#100000000,16,4,28324.613332748413
#100000000,16,5,29426.314115524292
#100000000,16,6,27808.55703353882
#100000000,16,7,31329.09893989563
#100000000,16,8,29153.202772140503
#100000000,16,9,29543.596744537354
#100000000,32,0,61764.57738876343
#100000000,32,1,16804.105281829834
#100000000,32,2,17004.78768348694
#100000000,32,3,16565.85645675659
#100000000,32,4,18247.792959213257
#100000000,32,5,17970.300912857056
#100000000,32,6,17067.367553710938
#100000000,32,7,17880.778312683105
#100000000,32,8,18265.838861465454
#100000000,32,9,19275.888442993164
#100000000,64,0,60842.51809120178
#100000000,64,1,11755.846977233887
#100000000,64,2,13701.741695404053
#100000000,64,3,11978.288173675537
#100000000,64,4,12008.68844985962
#100000000,64,5,12113.007545471191
#100000000,64,6,12921.782493591309
#100000000,64,7,13141.152620315552
#100000000,64,8,12288.677215576172
#100000000,64,9,12951.297044754028
#100000000,128,0,60789.98851776123
#100000000,128,1,10782.385110855103
#100000000,128,2,10806.24008178711
#100000000,128,3,12704.726696014404
#100000000,128,4,9589.076042175293
#100000000,128,5,11966.815710067749
#100000000,128,6,11984.308004379272
#100000000,128,7,11495.1913356781
#100000000,128,8,9702.687501907349
#100000000,128,9,12103.026866912842
#100000000,256,0,74108.98423194885
#100000000,256,1,12625.14352798462
#100000000,256,2,9427.358388900757
#100000000,256,3,11092.071533203125
#100000000,256,4,10875.319480895996
#100000000,256,5,9733.239650726318
#100000000,256,6,12732.209920883179
#100000000,256,7,10449.733018875122
#100000000,256,8,11847.710609436035
#100000000,256,9,13553.996086120605
#100000000,512,0,80186.30027770996
#100000000,512,1,13261.81674003601
#100000000,512,2,10514.11485671997
#100000000,512,3,13050.744533538818
#100000000,512,4,13293.445110321045
#100000000,512,5,10834.44356918335
#100000000,512,6,12345.727920532227
#100000000,512,7,10389.281511306763
#100000000,512,8,10599.254131317139
#100000000,512,9,10990.148305892944
#
#
#100000000,1,0,60540.199279785156
#100000000,1,1,52994.378089904785
#100000000,1,2,49310.991048812866
#100000000,1,3,50562.52431869507
#100000000,1,4,49775.901794433594
#100000000,1,5,49037.280559539795
#100000000,1,6,49188.1377696991
#100000000,1,7,48857.08022117615
#100000000,1,8,47937.971115112305
#100000000,1,9,50851.24397277832
#100000000,2,0,50125.818490982056
#100000000,2,1,47920.886516571045
#100000000,2,2,44433.104276657104
#100000000,2,3,48546.5042591095
#100000000,2,4,47409.13367271423
#100000000,2,5,47581.65264129639
#100000000,2,6,49775.43807029724
#100000000,2,7,47197.01528549194
#100000000,2,8,47508.18085670471
#100000000,2,9,46111.81855201721
